,country,qii,gdp,iso_a3,continent,year,pop
344,Georgia,64.96,3759.598,GEO,Europe,2015,3717100
345,Georgia,64.96,3759.598,GEO,Asia,2015,3717100
28,Malaysia,65.31,10655.464,MYS,Asia,2012,29170456
322,Chile,65.48,13571.968,CHL,South America,2015,17762681
418,Philippines,65.83,2953.208,PHL,Asia,2016,103320222
26,Turkey,66.7,11552.693,TUR,Europe,2012,74569867
27,Turkey,66.7,11552.693,TUR,Asia,2012,74569867
212,Turkey,67.82,12022.18,TUR,Europe,2014,77030628
213,Turkey,67.82,12022.18,TUR,Asia,2014,77030628
316,Bulgaria,68.3,7017.414,BGR,Europe,2015,7177991
116,Singapore,69.17,56519.348,SGP,Asia,2013,5399162
221,Serbia,69.31,6598.935,SRB,Europe,2014,7130576
229,Chile,69.32,14643.845,CHL,South America,2014,17613798
25,Saudi Arabia,71.02,25208.162,SAU,Asia,2012,29086357
131,Bosnia And Herzegovina,71.6,5036.032,BIH,Europe,2013,3604999
406,Indonesia,72.19,3605.721,IDN,Asia,2016,261115456
350,Belarus,72.48,5941.24,BLR,Europe,2015,9489616
129,Argentina,72.53,14488.829,ARG,South America,2013,42539925
136,Chile,72.56,15804.358,CHL,South America,2013,17462982
247,Hong Kong,73.24,40182.28,HKG,Asia,2014,7241700
317,Bosnia And Herzegovina,73.45,4584.264,BIH,Europe,2015,3535961
126,India,73.7,1485.595,IND,Asia,2013,1278562207
257,Belarus,74.43,8316.012,BLR,Europe,2014,9474511
224,Bosnia And Herzegovina,74.6,5194.014,BIH,Europe,2014,3566002
119,Turkey,74.84,12395.369,TUR,Europe,2013,75787333
120,Turkey,74.84,12395.369,TUR,Asia,2013,75787333
315,Argentina,77.01,14895.316,ARG,South America,2015,43417765
228,Greece,77.48,21726.89,GRC,Europe,2014,10892413
219,India,78.01,1610.355,IND,Asia,2014,1293859294
156,Uruguay,78.34,16723.447,URY,South America,2013,3408005
312,India,78.6,1639.69,IND,Asia,2015,1309053980
121,Malaysia,79.74,10699.659,MYS,Asia,2013,29706724
222,Argentina,81.12,13208.831,ARG,South America,2014,42981515
305,Turkey,82.55,10914.886,TUR,Europe,2015,78271472
306,Turkey,82.55,10914.886,TUR,Asia,2015,78271472
340,Hong Kong,82.96,42321.712,HKG,Asia,2015,7305700
218,Hungary,83.18,14182.698,HUN,Europe,2014,9866468
216,Mexico,83.47,10980.985,MEX,North America,2014,124221600
24,South Africa,83.59,7574.427,ZAF,Africa,2012,52506515.08
318,Romania,83.63,8950.463,ROU,Europe,2015,19815481
358,Bahrain,84.06,22714.299,BHR,Asia,2015,1371855
309,Mexico,84.97,9673.643,MEX,North America,2015,125890949
307,Malaysia,85.32,9511.81,MYS,Asia,2015,30723155
421,Ukraine,85.56,2200.002,UKR,Europe,2016,45004645
125,Hungary,85.59,13646.269,HUN,Europe,2013,9893082
155,Panama,86.81,11841.893,PAN,North America,2013,3838462
23,Singapore,87.08,54891.873,SGP,Asia,2012,5312437
124,Italy,87.36,35219.817,ITA,Europe,2013,60233948
123,Mexico,87.94,10764.334,MEX,North America,2013,122535969
209,Singapore,87.99,57271.717,SGP,Asia,2014,5469724
22,Czech Republic,88.14,19739.899,CZE,Europe,2012,10510785
419,Russia,88.31,8909.547,RUS,Europe,2016,144342396
420,Russia,88.31,8909.547,RUS,Asia,2016,144342396
422,Egypt,88.79,3686.07,EGY,Africa,2016,95688681
114,Croatia,88.86,13664.967,HRV,Europe,2013,4255689
214,Malaysia,89.05,11008.868,MYS,Asia,2014,30228017
341,Panama,89.27,13606.597,PAN,North America,2015,3969249
122,Poland,90.47,13777.295,POL,Europe,2013,38040196
217,Italy,90.61,35456.675,ITA,Europe,2014,60789140
202,Israel,91.16,37750.29,ISR,Asia,2014,8215700
249,Uruguay,91.94,16572.362,URY,South America,2014,3419546
336,Taiwan,92.5,22373.564,TWN,Asia,2015,
21,Croatia,93.06,13249.445,HRV,Europe,2012,4267558
342,Uruguay,93.06,15365.956,URY,South America,2015,3431552
311,Hungary,93.07,12487.225,HUN,Europe,2015,9843028
395,Singapore,93.09,56454.739,SGP,Asia,2016,5607283
417,Pakistan,93.99,1439.63,PAK,Asia,2016,193203476
154,Hong Kong,94.27,38230.066,HKG,Asia,2013,7187500
321,Greece,94.66,18114.716,GRC,Europe,2015,10820883
215,Poland,95.19,14342.832,POL,Europe,2014,38011735
423,Iran,96.93,5026.648,IRN,Asia,2016,80277428
424,China,99.03,8115.828,CHN,Asia,2016,1378665000
357,Latvia,99.04,13587.684,LVA,Europe,2015,1977527
109,Israel,99.34,36359.933,ISR,Asia,2013,8059500
20,Belgium,100.68,44977.07,BEL,Europe,2012,11128246
19,Spain,100.93,28583.739,ESP,Europe,2012,46773055
310,Italy,100.99,30153.407,ITA,Europe,2015,60730582
416,Brazil,101.02,8752.328,BRA,South America,2016,207652865
18,Portugal,105.1,20588.873,PRT,Europe,2012,10514844
433,Hong Kong,108.33,43496.299,HKG,Asia,2016,7346700
207,Croatia,108.7,13610.802,HRV,Europe,2014,4238389
245,Slovakia,108.74,18668.684,SVK,Europe,2014,5418649
338,Slovakia,109.09,16197.783,SVK,Europe,2015,5423801
405,India,109.28,1761.626,IND,Asia,2016,1324171354
308,Poland,109.74,12565.735,POL,Europe,2015,37986412
17,United Kingdom,110.09,42023.101,GBR,Europe,2012,63700300
303,South Africa,110.92,5800.506,ZAF,Africa,2015,55011976.68
302,Singapore,111.29,55330.507,SGP,Asia,2015,5535002
210,South Africa,111.61,6508.779,ZAF,Africa,2014,54146734.74
300,Croatia,112.34,11779.008,HRV,Europe,2015,4203604
339,Lithuania,112.85,14299.136,LTU,Europe,2015,2904910
153,Lithuania,114.05,15695.744,LTU,Europe,2013,2957689
243,Taiwan,114.06,22638.917,TWN,Asia,2014,
152,Slovakia,114.58,18205.908,SVK,Europe,2013,5413393
457,Macedonia,115.03,5153.016,MKD,Europe,2016,2081206
151,Puerto Rico,117.89,28513.15,PRI,North America,2013,3593077
242,South Korea,117.9,27811.367,KOR,Asia,2014,50746659
16,Israel,118.25,32556.96,ISR,Asia,2012,7910500
15,France,119.51,42371.124,FRA,Europe,2012,65659790
111,Portugal,119.76,21625.482,PRT,Europe,2013,10457295
335,South Korea,120.03,27105.078,KOR,Asia,2015,51014947
295,Israel,120.43,35869.725,ISR,Asia,2015,8380100
150,Taiwan,120.57,21887.992,TWN,Asia,2013,
246,Lithuania,121.91,16584.719,LTU,Europe,2014,2932367
