,Country,QII_2012,QII_2013,QII_2014,QII_2015,QII_2016,QII_2017,QII_2019,QII_2018,ISO_A3,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,COMB_2012,COMB_2013,COMB_2014,COMB_2015,COMB_2016,COMB_2017
31,Hungary,48.74,85.59,83.18,93.07,140.74,138.82,134.47,132.31,HUN,12873.2,13646.27,14182.7,12487.22,12818.72,14264.25,0.034,0.063,0.066,0.063,0.107,0.141
32,India,44.01,73.7,78.01,78.6,109.28,101.52,117.51,122.09,IND,1481.56,1485.6,1610.36,1639.69,1761.63,2014.01,0.004,0.006,0.007,0.007,0.011,0.015
33,Indonesia,37.22,-12.54,21.85,22.7,72.19,62.02,107.2,112.89,IDN,3744.53,3684.0,3533.61,3367.69,3605.72,3884.72,0.008,-0.002,0.004,0.004,0.016,0.017
34,Serbia,34.59,63.68,69.31,60.34,138.26,133.43,119.83,123.48,SRB,6012.63,6752.8,6598.94,5585.12,5756.38,6284.2,0.011,0.023,0.025,0.018,0.047,0.06
35,Argentina,32.58,72.53,81.12,77.01,138.48,139.59,122.49,131.85,ARG,13889.79,14488.83,13208.83,14895.32,12772.87,14588.01,0.024,0.057,0.06,0.062,0.105,0.146
36,Bulgaria,30.77,53.71,62.6,68.3,141.61,138.2,130.59,129.69,BGR,7399.39,7667.59,7888.56,7017.41,7496.08,8274.48,0.012,0.022,0.027,0.026,0.063,0.082
37,Bosnia And Herzegovina,28.04,71.6,74.6,73.45,146.7,139.14,124.51,129.33,BIH,4716.64,5036.03,5194.01,4584.26,4808.3,5180.78,0.007,0.02,0.022,0.018,0.042,0.052
38,Romania,25.52,57.75,63.27,83.63,146.13,143.04,140.31,144.05,ROU,8518.92,9537.82,10004.88,8950.46,9538.93,10761.71,0.012,0.03,0.035,0.041,0.083,0.11
39,Thailand,24.89,54.08,56.64,47.37,63.83,57.21,103.26,101.18,THA,5979.22,6296.19,6079.69,5967.67,6113.8,6730.56,0.008,0.018,0.019,0.015,0.023,0.028
40,Colombia,23.38,35.05,36.53,47.71,128.46,115.38,108.36,112.15,COL,7950.38,8103.49,7998.84,6088.68,5799.62,6325.49,0.01,0.015,0.016,0.016,0.044,0.052
